,Car Model,Year,Kilometers Driven,Fuel Type,Transmission Type,Price
2333,Maruti IGNIS,2018,49519.0,Petrol,Manual,511299.0
2334,Hyundai Grand i10,2016,37360.0,Petrol,Manual,526799.0
2335,Hyundai Eon,2017,69386.0,Petrol,Manual,309099.0
2336,Maruti S PRESSO,2020,34809.0,Petrol,Manual,476199.0
2337,Hyundai Tucson New,2019,18419.0,Diesel,Automatic,2194499.0
2338,Datsun Redi Go,2018,28055.0,Petrol,Manual,321999.0
2339,Maruti Baleno,2017,27868.0,Petrol,Manual,692599.0
2340,Datsun Redi Go,2019,78048.0,Petrol,Manual,326099.0
2341,Maruti Wagon R 1.0,2018,39002.0,Petrol,Manual,451599.0
2342,Hyundai Eon,2018,60520.0,Petrol,Manual,349999.0
2343,Maruti Wagon R 1.0,2018,39777.0,Petrol,Manual,461199.0
2344,Maruti Baleno,2017,33676.0,Petrol,Manual,713799.0
2345,Maruti Alto K10,2015,60270.0,Petrol,Manual,324799.0
2346,Maruti Baleno,2019,39821.0,Petrol,Automatic,803299.0
2347,Maruti Vitara Brezza,2017,98235.0,Diesel,Manual,807199.0
2348,Maruti Wagon R 1.0,2015,71802.0,Petrol,Manual,376099.0
2349,Hyundai Eon,2017,54726.0,Petrol,Manual,337099.0
2350,Maruti Wagon R 1.0,2018,49843.0,Petrol,Manual,437499.0
2351,Datsun Redi Go,2019,19812.0,Petrol,Manual,330799.0
2352,Ford Ecosport,2018,51541.0,Petrol,Automatic,857199.0
2353,Honda WR-V,2017,102938.0,Diesel,Manual,706399.0
2354,Maruti Alto 800,2016,72917.0,Petrol,Manual,308799.0
2355,Hyundai NEW SANTRO,2019,61314.0,Petrol,Manual,540755.0
2356,Honda WR-V,2018,57646.0,Diesel,Manual,821099.0
2357,Honda Civic,2020,25648.0,Petrol,Automatic,1956499.0
2358,Maruti Wagon R 1.0,2016,59099.0,Petrol,Manual,445399.0
2359,Hyundai Grand i10,2018,69711.0,Petrol,Manual,511849.0
2360,Maruti Wagon R 1.0,2017,58396.0,Petrol,Manual,430099.0
2361,Ford FREESTYLE,2019,50611.0,Petrol,Manual,646899.0
2362,Datsun Redi Go,2018,32800.0,Petrol,Manual,314999.0
2363,Maruti S PRESSO,2020,59313.0,Petrol,Automatic,522199.0
2364,Maruti Alto K10,2015,78403.0,Petrol,Manual,320199.0
2365,Maruti Baleno,2018,63524.0,Petrol,Manual,669099.0
2366,Maruti Baleno,2017,25572.0,Petrol,Manual,715799.0
2367,Maruti Alto 800,2018,44290.0,Petrol,Manual,341699.0
2368,Maruti Baleno,2017,23456.0,Petrol,Manual,712799.0
2369,Maruti Alto 800,2017,70441.0,Petrol,Manual,311999.0
2370,Maruti Alto 800,2018,35323.0,Petrol,Manual,328299.0
2371,Maruti Alto 800,2017,42384.0,Petrol,Manual,314431.0
2372,Maruti Alto 800,2018,37138.0,Petrol,Manual,341699.0
2373,Maruti Alto 800,2018,36389.0,Petrol,Manual,341699.0
2374,Maruti Alto K10,2018,38379.0,Petrol,Manual,359999.0
2375,Maruti Alto 800,2018,75925.0,Petrol,Manual,311999.0
2376,Datsun Redi Go,2019,66528.0,Petrol,Manual,333199.0
2377,Maruti Wagon R 1.0,2018,51609.0,Petrol,Manual,480099.0
2378,Honda BR-V,2018,44863.0,Petrol,Manual,920199.0
2379,Maruti Alto,2020,44301.0,Petrol,Manual,350199.0
2380,Maruti Alto,2019,44146.0,Petrol,Manual,350199.0
2381,Hyundai Tucson New,2019,80389.0,Petrol,Automatic,1921099.0
2382,Mahindra Xylo,2017,213057.0,Diesel,Manual,687799.0
2383,Maruti Alto,2021,27070.0,Petrol,Manual,417099.0
2384,Maruti Alto 800,2019,61480.0,Petrol,Manual,355799.0
2385,Maruti Alto 800,2015,22994.0,Petrol,Manual,247599.0
2386,Maruti Ritz,2014,28943.0,Petrol,Manual,407799.0
